bez;ujahr;umonat;ustunde;uwochentag;ukategorie;uart;utyp1;ulichtverh;istrad;istpkw;istfuss;istkrad;istgkfz;istsonstige;ustrzustand;geometry
3;2018;1;8;2;2;6;4;0;0;1;1;0;0;0;0;POINT (13.43395303 52.53716546)
4;2018;1;11;4;3;2;6;0;0;1;0;0;0;0;0;POINT (13.28361836 52.51740341)
7;2018;1;6;2;3;6;2;2;0;1;1;0;0;0;1;POINT (13.35225844 52.48004673)
10;2018;1;3;7;2;1;5;2;0;1;0;0;1;0;0;POINT (13.56261332 52.56705917)
7;2018;1;20;2;2;6;2;2;0;1;1;0;0;0;1;POINT (13.38025961 52.43769417)
7;2018;1;19;3;3;2;6;2;0;1;0;0;0;0;1;POINT (13.36534305 52.47302409)
6;2018;1;18;2;2;6;4;2;0;1;1;0;0;0;1;POINT (13.31120027 52.45203552)
10;2018;1;15;4;3;5;2;0;1;1;0;0;0;0;0;POINT (13.57994696 52.505079)
9;2018;1;8;1;3;5;2;0;1;1;0;0;0;0;0;POINT (13.51090542 52.45581365)
12;2018;1;6;4;3;5;2;0;1;1;0;0;0;0;1;POINT (13.31132041 52.62762084)
7;2018;1;22;5;3;2;6;2;0;1;0;0;0;0;0;POINT (13.38580817 52.48226095)
2;2018;1;20;3;3;6;2;2;0;1;1;0;0;0;1;POINT (13.46759778 52.51435211)
1;2018;1;23;6;3;6;7;2;0;1;1;0;0;0;0;POINT (13.41085944 52.51854444)
10;2018;1;9;3;3;3;6;0;0;1;0;0;1;0;1;POINT (13.56203103 52.50843719)
7;2018;1;13;5;3;5;2;0;0;1;0;0;0;0;0;POINT (13.38574109 52.46947297)
1;2018;1;8;2;2;6;4;0;0;1;1;0;0;0;0;POINT (13.37472125 52.50926632)
9;2018;1;17;3;3;0;4;2;0;0;1;0;0;1;0;POINT (13.45780719 52.49162011)
2;2018;1;9;2;2;6;4;0;0;1;1;0;0;0;1;POINT (13.47349649 52.51376294)
12;2018;1;6;5;3;5;3;2;0;1;0;0;0;0;1;POINT (13.34550162 52.58081839)
6;2018;3;13;6;3;5;2;0;0;1;0;0;0;0;0;POINT (13.21469962 52.42753172)
1;2018;11;18;1;3;3;6;2;1;1;0;0;0;0;0;POINT (13.41593143 52.52219952)
7;2018;8;19;4;3;5;2;0;1;1;0;0;0;0;0;POINT (13.35213303 52.48010314)
1;2018;10;22;5;3;1;5;2;1;1;0;0;0;0;0;POINT (13.39462387 52.51731745)
2;2018;8;16;2;3;2;6;0;0;1;0;0;0;0;0;POINT (13.42904261 52.51842753)
2;2018;4;19;1;2;3;6;0;1;0;0;0;0;0;0;POINT (13.46511441 52.51475407)
3;2018;4;16;3;3;2;6;0;0;1;0;0;0;0;0;POINT (13.43890139 52.6184162)
10;2018;5;14;3;2;5;3;0;1;1;0;0;0;0;0;POINT (13.55628531 52.50882799)
7;2018;11;8;5;3;5;3;0;0;1;0;0;0;1;0;POINT (13.38751112 52.43898116)
6;2018;12;9;2;3;0;3;0;0;1;0;1;0;0;1;POINT (13.15736973 52.41925252)
7;2018;9;14;4;3;2;6;0;0;1;0;1;0;0;0;POINT (13.38726562 52.44016438)
4;2018;8;7;5;3;2;6;0;0;1;0;0;0;1;0;POINT (13.28861273 52.49407904)
7;2018;6;11;5;3;2;6;0;0;1;0;0;0;0;0;POINT (13.37594916 52.42986014)
2;2018;7;22;3;3;0;1;2;0;0;0;1;0;0;0;POINT (13.4534913 52.51502475)
1;2018;5;7;3;3;5;3;0;0;1;0;0;0;0;0;POINT (13.36525867 52.55807966)
3;2018;3;18;5;3;0;3;0;0;1;0;0;0;0;0;POINT (13.43245097 52.62253125)
2;2018;11;14;2;3;6;7;0;0;0;1;0;0;1;0;POINT (13.44729412 52.50259525)
3;2018;6;11;7;3;9;1;0;0;1;0;0;0;0;1;POINT (13.44230639 52.61537872)
4;2018;12;23;4;2;8;1;2;0;1;0;0;0;0;1;POINT (13.30214736 52.48661056)
12;2018;10;16;6;3;6;7;0;0;1;1;0;0;0;0;POINT (13.33058211 52.60122543)
3;2018;8;17;4;3;2;6;0;0;1;0;0;0;0;0;POINT (13.44717465 52.54678012)
7;2018;4;21;3;3;2;6;2;1;1;0;0;0;0;0;POINT (13.36069776 52.49088684)
7;2018;3;17;7;3;5;2;0;1;1;0;0;0;0;0;POINT (13.36178399 52.41364202)
2;2018;5;14;4;3;2;6;0;0;1;0;1;0;0;0;POINT (13.4679036 52.51432187)
12;2018;10;6;4;3;2;6;2;0;1;0;0;0;0;1;POINT (13.36447875 52.5622443)
2;2018;3;20;5;3;5;2;2;0;1;0;1;0;0;0;POINT (13.45378434 52.5157643)
7;2018;11;6;2;3;3;6;1;0;0;0;0;1;1;0;POINT (13.39456752 52.46733793)
1;2018;9;9;7;3;5;3;0;0;1;0;0;0;0;0;POINT (13.36550149 52.55797126)
7;2018;8;17;5;3;5;3;0;1;1;0;0;0;0;0;POINT (13.38654429 52.44208694)
12;2018;6;12;1;3;2;6;0;0;1;0;0;0;0;0;POINT (13.36458779 52.56162367)
10;2018;7;13;1;2;2;6;0;0;1;0;0;0;0;0;POINT (13.58616073 52.50502846)
6;2018;6;10;2;3;5;2;0;0;1;0;0;0;0;0;POINT (13.27147604 52.4382703)
10;2018;8;10;4;3;0;1;0;0;0;0;1;0;0;0;POINT (13.5893595 52.50498403)
2;2018;5;18;4;3;6;4;0;1;0;1;0;0;0;0;POINT (13.44679225 52.51660582)
8;2018;4;6;4;3;2;6;0;0;1;0;0;0;0;0;POINT (13.43240248 52.46217858)
12;2018;12;8;2;3;5;2;0;0;1;0;0;0;0;1;POINT (13.36501121 52.56054059)
9;2018;9;12;6;3;3;6;0;0;1;0;0;0;0;0;POINT (13.4898835 52.46998778)
1;2018;9;4;7;2;9;1;1;0;1;0;0;0;0;0;POINT (13.40514725 52.52007606)
1;2018;7;9;5;3;0;1;0;0;0;0;1;0;0;0;POINT (13.36802711 52.50574015)
2;2018;7;15;6;3;9;1;0;1;0;0;0;0;0;0;POINT (13.45341896 52.5181094)
3;2018;3;8;3;3;2;6;0;0;1;0;0;0;0;1;POINT (13.41196655 52.54104049)
2;2018;5;18;5;3;0;6;0;1;0;1;0;0;0;0;POINT (13.44859924 52.50502827)
7;2018;10;13;4;3;5;3;0;1;1;0;0;0;0;0;POINT (13.36178646 52.41364489)
2;2018;3;20;5;3;5;2;2;0;1;0;0;0;0;0;POINT (13.45378434 52.5157643)
7;2018;11;12;5;2;3;6;0;0;1;0;0;1;0;1;POINT (13.40120994 52.46504192)
7;2018;9;13;1;3;5;2;0;0;1;0;1;0;0;0;POINT (13.38601313 52.44396831)
6;2018;8;18;6;3;2;6;0;0;1;0;1;0;0;0;POINT (13.15269333 52.41885022)
3;2018;6;22;2;3;9;1;2;0;1;0;0;0;0;0;POINT (13.40471687 52.5678022)
1;2018;10;16;2;3;6;2;0;0;1;1;0;0;0;0;POINT (13.41151669 52.51865143)
8;2018;6;13;4;3;2;6;0;0;1;0;0;0;0;0;POINT (13.45492201 52.46240091)
9;2018;8;15;5;3;5;2;0;0;1;0;0;0;0;0;POINT (13.45895361 52.49085826)
7;2018;4;10;6;3;0;7;0;0;1;0;0;0;0;0;POINT (13.40709308 52.46191667)
11;2018;4;19;6;3;2;6;0;0;1;0;0;0;0;0;POINT (13.48752583 52.51248961)
3;2018;6;12;5;3;2;6;0;0;1;0;0;0;0;0;POINT (13.43630979 52.62002078)
3;2018;12;18;5;3;5;7;2;1;1;0;0;0;0;1;POINT (13.42428982 52.53927808)
1;2018;9;17;1;3;5;3;1;1;0;0;0;0;0;1;POINT (13.42273301 52.52023483)
1;2018;9;18;2;3;3;6;0;0;1;0;1;0;0;0;POINT (13.37346464 52.50916562)
4;2018;6;15;2;3;1;5;0;1;1;0;0;0;0;0;POINT (13.26581496 52.50896847)
4;2018;7;23;6;2;3;7;2;0;1;0;1;0;0;0;POINT (13.28066465 52.50175346)
